Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Yes,578.0,411.0,187.0,25.0,50.0,880.0,477.0,6930.0,3452.0,400.0,1525.0,57.0,64.0,11.0,11.0,6383.0,32.0
Yes,420.0,293.0,93.0,11.0,32.0,336.0,80.0,7950.0,3750.0,600.0,2740.0,54.0,54.0,9.8,45.0,9754.0,48.0
Yes,2286.0,1668.0,564.0,37.0,70.0,2943.0,1260.0,11985.0,4081.0,400.0,1500.0,93.0,95.0,9.2,15.0,8995.0,91.0
Yes,1557.0,1074.0,397.0,15.0,40.0,1805.0,433.0,9813.0,4050.0,425.0,1e3,45.0,63.0,16.7,29.0,7307.0,78.0
Yes,857.0,772.0,376.0,25.0,58.0,1721.0,470.0,6720.0,3250.0,450.0,1520.0,77.0,82.0,13.9,33.0,6881.0,82.0
Yes,1981.0,1541.0,514.0,18.0,36.0,1927.0,1084.0,12500.0,6200.0,375.0,1e3,73.0,75.0,16.8,22.0,8707.0,80.0
No,1584.0,1456.0,891.0,6.0,18.0,3471.0,911.0,5016.0,3798.0,540.0,2256.0,48.0,48.0,28.8,12.0,3871.0,59.0
Yes,1742.0,1382.0,607.0,30.0,64.0,2258.0,53.0,10300.0,5080.0,475.0,1200.0,68.0,75.0,14.1,30.0,7762.0,89.0
No,9239.0,7788.0,3290.0,35.0,39.0,13606.0,807.0,8856.0,3960.0,500.0,1382.0,81.0,89.0,17.6,20.0,7846.0,85.0
No,18114.0,15096.0,6180.0,23.0,57.0,26640.0,4120.0,10658.0,3734.0,504.0,600.0,93.0,95.0,14.0,9.0,10520.0,71.0
No,2618.0,2288.0,1032.0,42.0,77.0,5524.0,414.0,8127.0,3978.0,900.0,1200.0,82.0,82.0,17.0,25.0,7473.0,65.0
Yes,331.0,331.0,225.0,15.0,36.0,1100.0,166.0,6840.0,3720.0,1100.0,4913.0,33.0,33.0,15.4,20.0,5524.0,49.0
No,6011.0,3075.0,960.0,22.0,60.0,5146.0,1532.0,7844.0,3830.0,450.0,1258.0,72.0,74.0,16.8,20.0,7832.0,71.0
Yes,610.0,461.0,189.0,26.0,52.0,685.0,49.0,8200.0,3300.0,550.0,1e3,63.0,69.0,12.0,16.0,8128.0,64.0
Yes,1444.0,1261.0,456.0,29.0,62.0,1788.0,95.0,11910.0,4378.0,450.0,965.0,60.0,77.0,11.4,25.0,8149.0,75.0
Yes,905.0,834.0,319.0,32.0,61.0,1073.0,179.0,11320.0,4402.0,550.0,1350.0,82.0,89.0,12.7,38.0,11218.0,58.0
Yes,1217.0,1088.0,496.0,36.0,69.0,1773.0,884.0,11505.0,3255.0,1e3,2075.0,35.0,46.0,16.7,23.0,7140.0,67.0
Yes,594.0,385.0,307.0,36.0,57.0,1695.0,721.0,5580.0,2830.0,600.0,700.0,77.0,79.0,16.5,18.0,6170.0,61.0
No,4255.0,3277.0,1609.0,18.0,57.0,10094.0,1621.0,9866.0,3084.0,480.0,1479.0,77.0,77.0,15.9,20.0,6223.0,53.0
No,480.0,405.0,380.0,19.0,46.0,1673.0,1014.0,4386.0,2217.0,600.0,1500.0,49.0,54.0,15.8,8.0,5704.0,63.0
No,1576.0,1326.0,913.0,13.0,50.0,3689.0,2200.0,3840.0,2852.0,200.0,400.0,52.0,54.0,20.3,9.0,4172.0,100.0
Yes,1310.0,983.0,316.0,5.0,35.0,1057.0,175.0,8550.0,5050.0,400.0,900.0,35.0,67.0,17.4,16.0,4333.0,27.0
Yes,601.0,503.0,204.0,28.0,57.0,671.0,11.0,13e3,4100.0,400.0,460.0,91.0,91.0,11.6,43.0,11087.0,56.0
Yes,2707.0,1881.0,478.0,14.0,34.0,1893.0,847.0,12480.0,5290.0,530.0,1740.0,70.0,85.0,14.2,15.0,9492.0,54.0
No,572.0,544.0,320.0,45.0,72.0,1470.0,416.0,6073.0,3400.0,550.0,1400.0,71.0,71.0,16.4,31.0,6112.0,74.0
No,3500.0,2836.0,1779.0,15.0,42.0,8730.0,993.0,5552.0,3710.0,550.0,2300.0,75.0,83.0,17.6,8.0,6324.0,37.0
No,5220.0,2128.0,865.0,19.0,53.0,6411.0,3186.0,3648.0,4834.0,700.0,950.0,82.0,87.0,21.5,9.0,6717.0,58.0
Yes,263.0,223.0,103.0,10.0,24.0,316.0,20.0,8438.0,3372.0,500.0,2958.0,42.0,50.0,11.1,4.0,11989.0,15.0
No,2442.0,2164.0,1189.0,12.0,37.0,5983.0,1075.0,4426.0,2664.0,600.0,1e3,76.0,81.0,18.1,19.0,4795.0,60.0
Yes,1232.0,955.0,303.0,23.0,58.0,1241.0,485.0,14990.0,4730.0,550.0,1250.0,86.0,92.0,15.2,28.0,9566.0,74.0
Yes,3708.0,1678.0,722.0,41.0,66.0,2852.0,153.0,7050.0,5490.0,250.0,600.0,71.0,74.0,17.8,10.0,8122.0,83.0
Yes,586.0,533.0,239.0,16.0,36.0,950.0,228.0,10520.0,3678.0,500.0,1e3,48.0,68.0,13.0,32.0,8111.0,56.0
Yes,882.0,730.0,330.0,2.0,13.0,926.0,12.0,4515.0,2550.0,850.0,2100.0,53.0,60.0,18.6,34.0,6990.0,60.0
Yes,1800.0,1314.0,526.0,47.0,79.0,1891.0,40.0,19300.0,5700.0,750.0,750.0,79.0,91.0,9.0,51.0,18359.0,84.0
Yes,279.0,276.0,126.0,17.0,37.0,600.0,435.0,6844.0,2980.0,500.0,500.0,45.0,55.0,11.7,38.0,5073.0,44.0
Yes,235.0,217.0,121.0,12.0,32.0,931.0,487.0,8950.0,3119.0,550.0,1125.0,51.0,51.0,10.7,26.0,7016.0,78.0
Yes,368.0,317.0,159.0,20.0,49.0,806.0,542.0,10500.0,3555.0,500.0,2285.0,44.0,50.0,11.3,30.0,6695.0,64.0
Yes,325.0,284.0,95.0,16.0,33.0,364.0,88.0,9900.0,3650.0,500.0,1200.0,32.0,37.0,13.6,43.0,6525.0,21.0
Yes,1321.0,1159.0,328.0,15.0,36.0,1243.0,79.0,12850.0,6200.0,550.0,900.0,77.0,82.0,12.8,36.0,8536.0,80.0
Yes,1170.0,695.0,238.0,14.0,48.0,1170.0,429.0,7470.0,4600.0,250.0,1400.0,74.0,75.0,15.3,23.0,6898.0,88.0
Yes,657.0,537.0,113.0,37.0,90.0,1039.0,466.0,12474.0,5678.0,630.0,1278.0,53.0,71.0,11.9,19.0,10613.0,72.0
Yes,1310.0,1086.0,458.0,26.0,61.0,1365.0,144.0,12250.0,3530.0,400.0,1150.0,85.0,87.0,16.7,35.0,7215.0,81.0
Yes,510.0,485.0,334.0,18.0,36.0,1114.0,94.0,7400.0,3346.0,600.0,600.0,57.0,57.0,19.8,7.0,6869.0,58.0
Yes,2519.0,1836.0,462.0,30.0,61.0,1656.0,352.0,16975.0,4565.0,600.0,850.0,76.0,86.0,12.8,39.0,10888.0,83.0
No,2225.0,1910.0,1190.0,29.0,55.0,5968.0,955.0,4738.0,3110.0,700.0,940.0,72.0,76.0,20.2,27.0,5972.0,52.0
Yes,1109.0,922.0,375.0,24.0,46.0,1115.0,70.0,13240.0,3914.0,600.0,800.0,73.0,85.0,13.4,27.0,9333.0,73.0
Yes,513.0,347.0,279.0,23.0,48.0,2508.0,505.0,9090.0,4500.0,650.0,500.0,62.0,65.0,18.3,2.0,7905.0,71.0
Yes,947.0,798.0,266.0,36.0,68.0,1274.0,471.0,10850.0,5150.0,550.0,800.0,77.0,93.0,13.6,24.0,8797.0,61.0
No,1879.0,1216.0,483.0,27.0,62.0,3311.0,1646.0,8832.0,5376.0,700.0,1850.0,92.0,98.0,13.5,19.0,12529.0,72.0
No,787.0,601.0,233.0,40.0,73.0,1017.0,411.0,5376.0,3214.0,600.0,1100.0,99.0,100.0,13.7,11.0,9241.0,34.0
Yes,13594.0,7244.0,2505.0,70.0,86.0,12408.0,2814.0,17748.0,7262.0,450.0,1e3,87.0,98.0,7.8,16.0,21227.0,71.0
Yes,872.0,722.0,154.0,14.0,36.0,601.0,36.0,10194.0,2600.0,500.0,1500.0,57.0,63.0,11.4,32.0,5788.0,83.0
Yes,2220.0,1796.0,467.0,65.0,99.0,1919.0,334.0,10320.0,4762.0,450.0,650.0,68.0,100.0,14.2,20.0,7788.0,65.0
No,1563.0,1005.0,240.0,1.0,19.0,1380.0,136.0,5542.0,4330.0,500.0,1e3,65.0,71.0,14.2,17.0,6562.0,57.0
No,4809.0,3089.0,1429.0,12.0,33.0,6162.0,871.0,6806.0,1780.0,600.0,1651.0,72.0,72.0,16.7,9.0,7090.0,44.0
No,10634.0,7064.0,3176.0,39.0,78.0,16505.0,5481.0,8400.0,6540.0,600.0,1300.0,92.0,98.0,17.5,21.0,9670.0,62.0
Yes,812.0,689.0,195.0,7.0,24.0,646.0,84.0,8242.0,4230.0,600.0,1295.0,77.0,77.0,12.7,11.0,10090.0,52.0
Yes,1127.0,884.0,308.0,30.0,64.0,1310.0,766.0,11718.0,7398.0,450.0,1800.0,73.0,87.0,16.4,33.0,8871.0,76.0
No,2968.0,2297.0,1610.0,13.0,47.0,7368.0,1128.0,5834.0,2744.0,600.0,2e3,79.0,83.0,17.0,24.0,6310.0,42.0
Yes,465.0,361.0,176.0,19.0,39.0,879.0,156.0,12580.0,4345.0,400.0,970.0,76.0,79.0,13.1,24.0,10889.0,74.0
No,6040.0,4577.0,1620.0,36.0,72.0,5640.0,266.0,4856.0,3416.0,400.0,1100.0,69.0,72.0,15.7,13.0,6601.0,76.0
Yes,11901.0,8492.0,2517.0,16.0,42.0,11160.0,10221.0,13380.0,7425.0,600.0,1750.0,73.0,82.0,12.9,17.0,9563.0,46.0
No,5891.0,4931.0,1973.0,23.0,48.0,11249.0,2682.0,6746.0,3728.0,620.0,2342.0,78.0,83.0,21.7,7.0,6157.0,41.0
No,10706.0,7219.0,2397.0,12.0,37.0,14826.0,1979.0,7799.0,3296.0,470.0,1750.0,73.0,78.0,17.3,11.0,6086.0,56.0
No,2729.0,2535.0,1257.0,8.0,29.0,4787.0,472.0,3735.0,3136.0,250.0,1630.0,62.0,65.0,21.7,23.0,5284.0,54.0
Yes,616.0,514.0,385.0,29.0,52.0,1115.0,60.0,9840.0,2820.0,450.0,822.0,59.0,59.0,14.8,20.0,6261.0,58.0
Yes,860.0,811.0,366.0,22.0,56.0,1040.0,52.0,9900.0,3075.0,300.0,1800.0,68.0,68.0,14.9,34.0,6357.0,68.0
Yes,12289.0,5200.0,1902.0,85.0,98.0,7450.0,45.0,16404.0,5520.0,759.0,1585.0,96.0,100.0,6.8,25.0,26385.0,92.0
Yes,1743.0,1625.0,626.0,8.0,29.0,1862.0,382.0,14134.0,5270.0,500.0,800.0,71.0,74.0,13.1,22.0,9209.0,63.0
Yes,379.0,324.0,107.0,15.0,37.0,500.0,311.0,9990.0,4900.0,400.0,600.0,44.0,47.0,12.1,26.0,4948.0,33.0
No,3041.0,2581.0,1173.0,16.0,56.0,6441.0,3982.0,9114.0,4030.0,400.0,650.0,88.0,90.0,19.7,13.0,6637.0,53.0
Yes,4778.0,2767.0,678.0,50.0,89.0,2587.0,120.0,19670.0,5820.0,575.0,1119.0,77.0,96.0,10.1,47.0,16593.0,83.0
Yes,2324.0,1319.0,370.0,52.0,81.0,1686.0,35.0,16560.0,5140.0,558.0,1152.0,91.0,93.0,10.5,30.0,16196.0,79.0
Yes,792.0,649.0,186.0,56.0,87.0,769.0,377.0,12900.0,4340.0,600.0,4110.0,91.0,95.0,13.1,27.0,8568.0,67.0
Yes,2936.0,2342.0,669.0,35.0,62.0,2502.0,66.0,15990.0,4080.0,600.0,825.0,73.0,78.0,14.5,31.0,9979.0,83.0
No,11023.0,8298.0,3183.0,21.0,54.0,14861.0,1310.0,7629.0,4095.0,550.0,2300.0,79.0,87.0,20.4,13.0,8811.0,64.0
Yes,2190.0,1700.0,458.0,36.0,65.0,1780.0,48.0,16732.0,5650.0,550.0,550.0,93.0,93.0,12.1,32.0,12011.0,75.0
Yes,758.0,681.0,484.0,35.0,59.0,1707.0,705.0,5390.0,3140.0,515.0,1290.0,63.0,71.0,15.1,18.0,5511.0,50.0
Yes,776.0,765.0,351.0,22.0,44.0,1419.0,228.0,6400.0,3150.0,500.0,1900.0,58.0,64.0,16.2,8.0,6578.0,45.0
No,4522.0,3913.0,2181.0,29.0,57.0,12830.0,1658.0,5336.0,3344.0,800.0,3100.0,84.0,92.0,15.3,14.0,6433.0,48.0
Yes,1496.0,1205.0,428.0,26.0,57.0,1648.0,936.0,12888.0,4440.0,420.0,840.0,62.0,68.0,13.9,30.0,8802.0,87.0
Yes,910.0,773.0,450.0,31.0,73.0,1310.0,61.0,6530.0,2800.0,500.0,1500.0,63.0,67.0,13.3,10.0,6413.0,65.0
Yes,2308.0,1336.0,295.0,22.0,46.0,1202.0,942.0,8530.0,3644.0,616.0,1576.0,56.0,64.0,14.9,25.0,7114.0,37.0
Yes,8256.0,3750.0,1522.0,37.0,70.0,5809.0,4379.0,11e3,5160.0,660.0,1115.0,90.0,95.0,13.8,10.0,10059.0,62.0
Yes,1603.0,1392.0,504.0,31.0,68.0,2580.0,302.0,13312.0,4488.0,600.0,1516.0,78.0,78.0,11.0,23.0,9431.0,83.0
Yes,940.0,668.0,385.0,20.0,48.0,1316.0,139.0,11925.0,3825.0,630.0,1926.0,48.0,87.0,12.3,12.0,9157.0,69.0
Yes,943.0,849.0,288.0,41.0,71.0,1041.0,35.0,14210.0,3994.0,450.0,1100.0,76.0,76.0,10.9,22.0,11216.0,42.0
No,944.0,774.0,440.0,14.0,34.0,2174.0,529.0,6360.0,2760.0,550.0,1498.0,77.0,77.0,15.0,5.0,6443.0,48.0
No,19315.0,10344.0,3450.0,48.0,93.0,28938.0,2025.0,10645.0,4060.0,512.0,2394.0,77.0,96.0,18.1,19.0,8992.0,63.0
Yes,3821.0,2037.0,680.0,86.0,96.0,2488.0,625.0,18200.0,6770.0,500.0,700.0,95.0,98.0,11.6,13.0,16185.0,66.0
No,701.0,501.0,458.0,10.0,40.0,959.0,457.0,2580.0,2624.0,500.0,900.0,48.0,100.0,20.1,24.0,4870.0,44.0
Yes,838.0,651.0,159.0,11.0,25.0,654.0,162.0,8640.0,3700.0,400.0,1915.0,62.0,62.0,12.2,13.0,7634.0,48.0
Yes,1538.0,1259.0,468.0,19.0,42.0,1664.0,1042.0,11690.0,5062.0,600.0,1664.0,48.0,80.0,12.9,15.0,8028.0,68.0
Yes,692.0,576.0,174.0,19.0,50.0,597.0,83.0,10500.0,3860.0,600.0,940.0,58.0,64.0,11.6,19.0,8990.0,39.0
Yes,663.0,562.0,127.0,20.0,40.0,641.0,63.0,5640.0,3620.0,600.0,750.0,89.0,89.0,13.2,17.0,7309.0,31.0
Yes,404.0,400.0,169.0,28.0,48.0,797.0,100.0,6e3,3e3,500.0,500.0,48.0,57.0,13.4,14.0,5557.0,61.0
Yes,1133.0,630.0,220.0,37.0,73.0,750.0,30.0,17688.0,5900.0,650.0,850.0,100.0,100.0,10.4,11.0,14820.0,73.0
Yes,809.0,687.0,428.0,20.0,43.0,1889.0,217.0,10178.0,4190.0,800.0,750.0,71.0,71.0,16.1,19.0,7895.0,54.0
Yes,875.0,744.0,207.0,7.0,38.0,1173.0,1402.0,9700.0,4830.0,400.0,1200.0,45.0,90.0,14.5,10.0,7652.0,66.0
Yes,1132.0,847.0,302.0,58.0,89.0,1379.0,214.0,16200.0,4200.0,436.0,2486.0,90.0,90.0,10.4,14.0,14329.0,62.0
No,2405.0,2234.0,1061.0,10.0,22.0,4564.0,448.0,4290.0,3500.0,598.0,1582.0,55.0,93.0,19.4,1.0,5967.0,35.0
Yes,1082.0,832.0,302.0,34.0,63.0,1133.0,30.0,11859.0,3635.0,554.0,1429.0,80.0,85.0,13.4,42.0,8354.0,85.0
Yes,13218.0,2042.0,1153.0,90.0,98.0,4540.0,146.0,19900.0,5910.0,675.0,1575.0,91.0,96.0,8.4,54.0,28320.0,99.0
Yes,5139.0,3346.0,973.0,20.0,55.0,3717.0,1358.0,14400.0,6200.0,450.0,1100.0,66.0,74.0,18.4,35.0,8135.0,96.0
No,21804.0,18744.0,5874.0,29.0,60.0,26213.0,4065.0,9556.0,3990.0,570.0,1060.0,86.0,86.0,18.2,15.0,8604.0,67.0
Yes,516.0,392.0,154.0,32.0,62.0,630.0,549.0,11020.0,4970.0,610.0,1900.0,73.0,75.0,14.0,36.0,9315.0,58.0
Yes,1025.0,707.0,297.0,22.0,66.0,1070.0,72.0,10100.0,4140.0,450.0,1080.0,69.0,71.0,16.3,32.0,6880.0,80.0
Yes,3712.0,2153.0,806.0,17.0,45.0,2677.0,714.0,12030.0,6140.0,1e3,500.0,63.0,73.0,12.0,33.0,8847.0,86.0
No,5702.0,4894.0,1742.0,15.0,37.0,8077.0,472.0,6684.0,4110.0,500.0,900.0,73.0,83.0,19.6,9.0,4519.0,62.0
No,2088.0,957.0,362.0,6.0,29.0,2745.0,1938.0,4449.0,4860.0,600.0,1655.0,74.0,95.0,17.8,8.0,7333.0,47.0
Yes,1771.0,1325.0,306.0,21.0,46.0,1071.0,27.0,13840.0,3735.0,400.0,900.0,77.0,80.0,10.7,38.0,11080.0,74.0
Yes,696.0,616.0,169.0,35.0,66.0,653.0,56.0,13970.0,6110.0,370.0,920.0,88.0,97.0,9.2,24.0,16358.0,68.0
Yes,1966.0,1436.0,327.0,47.0,80.0,1199.0,61.0,19960.0,5490.0,500.0,450.0,90.0,90.0,11.8,37.0,15886.0,68.0
Yes,427.0,385.0,143.0,18.0,38.0,581.0,533.0,12700.0,5800.0,450.0,700.0,81.0,85.0,10.3,37.0,11758.0,84.0
Yes,4996.0,4165.0,936.0,53.0,82.0,4291.0,16.0,17475.0,5976.0,1230.0,1100.0,94.0,98.0,15.4,21.0,15605.0,70.0
Yes,2302.0,1831.0,391.0,58.0,82.0,1345.0,59.0,15200.0,4768.0,550.0,1500.0,90.0,96.0,10.8,47.0,13388.0,77.0
Yes,3586.0,2424.0,730.0,16.0,31.0,2748.0,1309.0,13250.0,5420.0,700.0,3100.0,84.0,92.0,12.3,23.0,11299.0,70.0
Yes,587.0,501.0,211.0,28.0,52.0,735.0,28.0,15200.0,4100.0,350.0,650.0,87.0,90.0,9.4,49.0,12472.0,64.0
Yes,484.0,386.0,141.0,6.0,28.0,590.0,1196.0,9870.0,4860.0,600.0,1100.0,59.0,59.0,12.2,19.0,6744.0,81.0
Yes,2227.0,1790.0,437.0,27.0,54.0,1460.0,239.0,13425.0,4425.0,450.0,1200.0,85.0,89.0,13.0,26.0,9405.0,72.0
Yes,935.0,858.0,345.0,22.0,50.0,1127.0,754.0,9490.0,4100.0,500.0,1500.0,60.0,79.0,10.7,21.0,7519.0,79.0
Yes,560.0,392.0,270.0,11.0,31.0,743.0,118.0,8734.0,3362.0,600.0,625.0,56.0,78.0,11.3,27.0,6422.0,68.0
Yes,3304.0,2804.0,679.0,10.0,20.0,2111.0,1489.0,12520.0,6050.0,500.0,730.0,44.0,54.0,16.4,8.0,7957.0,61.0
Yes,1777.0,1151.0,382.0,31.0,55.0,1668.0,1052.0,16425.0,5220.0,955.0,750.0,81.0,85.0,13.3,23.0,11561.0,90.0
Yes,434.0,321.0,141.0,28.0,53.0,624.0,269.0,10950.0,4600.0,550.0,950.0,79.0,82.0,12.9,30.0,9264.0,81.0
No,3820.0,1431.0,695.0,21.0,70.0,5303.0,3942.0,4356.0,4830.0,800.0,800.0,76.0,81.0,22.1,6.0,7252.0,51.0
No,48094.0,26330.0,4520.0,36.0,79.0,21401.0,3712.0,7410.0,4748.0,690.0,2009.0,90.0,95.0,19.5,19.0,10474.0,77.0
No,3366.0,1752.0,232.0,27.0,79.0,2585.0,1300.0,7411.0,4748.0,690.0,2009.0,90.0,95.0,18.6,12.0,10134.0,57.0
No,5785.0,2690.0,499.0,26.0,62.0,4005.0,1886.0,7410.0,4748.0,690.0,2009.0,90.0,95.0,17.4,16.0,11878.0,58.0
Yes,2307.0,1896.0,509.0,19.0,51.0,1707.0,1889.0,11070.0,5780.0,400.0,600.0,71.0,73.0,14.8,16.0,7120.0,82.0
Yes,897.0,718.0,276.0,12.0,48.0,1345.0,390.0,10450.0,4020.0,500.0,1500.0,56.0,56.0,14.1,16.0,7444.0,70.0
Yes,2095.0,1553.0,514.0,15.0,40.0,1873.0,94.0,12950.0,5400.0,450.0,1120.0,70.0,82.0,14.5,29.0,6719.0,97.0
No,3971.0,3306.0,1921.0,10.0,34.0,11493.0,2206.0,4259.0,2625.0,350.0,1884.0,70.0,75.0,18.9,10.0,4629.0,58.0
Yes,213.0,166.0,85.0,13.0,36.0,513.0,247.0,8670.0,3820.0,450.0,1e3,43.0,78.0,12.5,4.0,7440.0,48.0
Yes,1046.0,824.0,284.0,21.0,45.0,1223.0,451.0,10880.0,5050.0,400.0,1235.0,64.0,64.0,19.3,24.0,7344.0,69.0
Yes,933.0,800.0,444.0,18.0,45.0,1691.0,72.0,12247.0,4081.0,500.0,600.0,76.0,85.0,12.0,38.0,9853.0,70.0
Yes,920.0,684.0,225.0,24.0,42.0,815.0,222.0,11200.0,4250.0,600.0,950.0,55.0,60.0,14.8,19.0,7360.0,67.0
Yes,833.0,682.0,217.0,12.0,33.0,716.0,2196.0,9985.0,5180.0,500.0,800.0,53.0,89.0,27.2,8.0,4322.0,85.0
Yes,2519.0,2003.0,776.0,39.0,71.0,2473.0,1314.0,12750.0,6350.0,350.0,1690.0,84.0,90.0,17.4,13.0,8243.0,83.0
Yes,292.0,241.0,96.0,20.0,52.0,543.0,712.0,12200.0,4600.0,650.0,950.0,87.0,90.0,11.2,32.0,8680.0,76.0
Yes,3294.0,2855.0,956.0,44.0,67.0,4576.0,1140.0,11690.0,4730.0,800.0,6800.0,84.0,94.0,4.6,19.0,18367.0,67.0
Yes,888.0,734.0,393.0,26.0,60.0,1433.0,27.0,12730.0,4514.0,500.0,1525.0,74.0,95.0,9.9,31.0,11165.0,98.0
Yes,876.0,802.0,367.0,14.0,35.0,1263.0,118.0,10800.0,3600.0,400.0,820.0,68.0,74.0,18.8,19.0,5081.0,78.0
Yes,150.0,130.0,88.0,23.0,50.0,341.0,768.0,10300.0,4130.0,500.0,1700.0,44.0,58.0,10.2,37.0,9678.0,75.0
Yes,1910.0,1380.0,463.0,16.0,64.0,1715.0,106.0,13030.0,5860.0,500.0,750.0,79.0,88.0,14.5,34.0,10190.0,84.0
Yes,2248.0,1673.0,745.0,38.0,73.0,2888.0,105.0,14350.0,3750.0,550.0,550.0,82.0,88.0,10.0,31.0,12502.0,83.0
Yes,1606.0,1413.0,530.0,23.0,38.0,1921.0,1154.0,9408.0,5520.0,500.0,450.0,78.0,78.0,12.1,22.0,7669.0,53.0
Yes,700.0,595.0,278.0,19.0,35.0,1035.0,182.0,10850.0,3936.0,500.0,900.0,62.0,64.0,12.3,31.0,8534.0,88.0
Yes,785.0,647.0,295.0,15.0,65.0,1670.0,726.0,10860.0,4624.0,600.0,794.0,87.0,100.0,13.7,15.0,8953.0,55.0
Yes,489.0,384.0,120.0,23.0,52.0,700.0,45.0,10575.0,3952.0,400.0,620.0,46.0,24.0,13.0,9.0,8946.0,98.0
Yes,335.0,284.0,132.0,28.0,69.0,534.0,216.0,10475.0,6300.0,500.0,2e3,68.0,68.0,11.2,46.0,9599.0,60.0
No,4216.0,2290.0,736.0,20.0,52.0,4296.0,1027.0,5130.0,4690.0,600.0,1450.0,73.0,75.0,17.9,18.0,5125.0,56.0
Yes,1680.0,1395.0,691.0,34.0,76.0,2959.0,402.0,8236.0,3700.0,569.0,1650.0,74.0,75.0,14.7,17.0,9533.0,61.0
No,9402.0,7020.0,2151.0,20.0,70.0,16407.0,5550.0,8384.0,5110.0,612.0,2400.0,87.0,93.0,19.5,7.0,7930.0,41.0
Yes,4019.0,2779.0,888.0,40.0,73.0,3891.0,128.0,13584.0,5928.0,630.0,1278.0,88.0,92.0,13.9,19.0,10872.0,100.0
Yes,1380.0,768.0,263.0,57.0,82.0,1e3,105.0,19300.0,6694.0,600.0,700.0,89.0,93.0,6.1,18.0,14779.0,83.0
Yes,1109.0,688.0,386.0,20.0,65.0,1897.0,208.0,8325.0,5e3,1200.0,1600.0,14.0,98.0,16.1,26.0,6874.0,55.0
Yes,584.0,413.0,131.0,19.0,51.0,521.0,99.0,8955.0,5900.0,500.0,1488.0,51.0,56.0,11.8,23.0,8545.0,52.0
Yes,855.0,632.0,139.0,60.0,83.0,569.0,7.0,17238.0,7350.0,600.0,800.0,95.0,100.0,8.2,41.0,18372.0,73.0
Yes,1183.0,1016.0,411.0,42.0,82.0,1922.0,704.0,12669.0,4875.0,600.0,1250.0,83.0,85.0,16.8,20.0,10368.0,66.0
Yes,2115.0,1540.0,494.0,28.0,72.0,2993.0,347.0,12825.0,4375.0,500.0,1500.0,85.0,85.0,12.2,16.0,10175.0,89.0
Yes,4576.0,3565.0,1e3,16.0,36.0,4384.0,1530.0,12e3,6484.0,650.0,1e3,81.0,84.0,14.4,15.0,10080.0,64.0
Yes,936.0,794.0,197.0,24.0,56.0,752.0,210.0,11240.0,4180.0,350.0,2e3,71.0,71.0,11.2,37.0,10065.0,71.0
No,5818.0,3281.0,1116.0,14.0,53.0,5268.0,300.0,7844.0,3504.0,450.0,1700.0,80.0,83.0,18.8,13.0,6719.0,72.0
Yes,540.0,445.0,165.0,23.0,70.0,1115.0,111.0,7210.0,3600.0,500.0,2e3,62.0,65.0,13.2,18.0,7356.0,58.0
Yes,2961.0,1932.0,628.0,24.0,68.0,2669.0,616.0,10800.0,5100.0,575.0,1090.0,71.0,82.0,14.1,42.0,8189.0,100.0
Yes,464.0,419.0,183.0,10.0,31.0,686.0,287.0,9240.0,3880.0,475.0,1090.0,29.0,49.0,7.2,17.0,9431.0,47.0
Yes,1003.0,782.0,295.0,23.0,53.0,1144.0,160.0,16160.0,6950.0,500.0,1200.0,74.0,81.0,8.9,33.0,14086.0,79.0
Yes,1016.0,872.0,300.0,27.0,57.0,1116.0,602.0,11250.0,4980.0,550.0,1400.0,66.0,73.0,15.8,36.0,7411.0,70.0
Yes,437.0,400.0,211.0,13.0,35.0,614.0,271.0,8990.0,3064.0,500.0,1700.0,73.0,73.0,14.8,7.0,7881.0,48.0
Yes,4293.0,2728.0,591.0,25.0,62.0,2322.0,263.0,18710.0,5970.0,500.0,700.0,87.0,92.0,12.7,29.0,14837.0,81.0
Yes,2925.0,1598.0,632.0,51.0,88.0,2479.0,95.0,18820.0,6390.0,500.0,1050.0,85.0,97.0,10.3,44.0,21199.0,90.0
No,2807.0,2589.0,1701.0,13.0,37.0,7e3,1103.0,3811.0,2190.0,500.0,1970.0,62.0,65.0,15.0,29.0,5084.0,67.0
No,2281.0,1870.0,1408.0,18.0,43.0,6553.0,1246.0,4680.0,3540.0,200.0,2150.0,75.0,76.0,17.1,8.0,5916.0,45.0
No,818.0,700.0,447.0,20.0,50.0,2962.0,651.0,3738.0,2619.0,450.0,1022.0,55.0,59.0,19.6,9.0,4444.0,53.0
Yes,385.0,340.0,193.0,18.0,38.0,784.0,127.0,9520.0,4124.0,630.0,1818.0,63.0,65.0,18.6,11.0,8219.0,43.0
No,2540.0,2195.0,994.0,13.0,40.0,6063.0,2550.0,5472.0,3598.0,221.0,2216.0,76.0,81.0,16.5,8.0,7498.0,43.0
Yes,4301.0,3455.0,1166.0,41.0,69.0,4892.0,387.0,12772.0,5078.0,576.0,1802.0,74.0,88.0,13.5,17.0,12726.0,72.0
Yes,1093.0,1093.0,642.0,12.0,32.0,1770.0,967.0,7070.0,2500.0,400.0,1e3,52.0,54.0,15.9,13.0,4718.0,71.0
